date,open,high,low,close,volume,outstanding_share,turnover
2014-01-23,3.809046755968398,3.8623947497494684,3.798377157212184,3.819716354724612,3592523.0,9850714660.0,0.0003646966868899236
2014-01-24,3.819716354724612,3.851725150993254,3.766368360943542,3.819716354724612,3267804.0,9850714660.0,0.0003317326826315767
2014-01-27,3.819716354724612,3.819716354724612,3.766368360943542,3.78770755845597,3115788.0,9850714660.0,0.000316300705841377
2014-01-28,3.809046755968398,3.809046755968398,3.777037959699756,3.777037959699756,2127480.0,9850714660.0,0.00021597214754771914
2014-01-29,3.777037959699756,3.809046755968398,3.777037959699756,3.809046755968398,2091752.0,9850714660.0,0.00021234520257639865
2014-01-30,3.809046755968398,3.809046755968398,3.7343595646749,3.766368360943542,2809583.0,9850714660.0,0.0002852161591289053
2014-02-07,3.745029163431114,3.78770755845597,3.713020367162472,3.78770755845597,2200380.0,9850714660.0,0.00022337262583951446
2014-02-10,3.78770755845597,3.8837339472618964,3.777037959699756,3.8837339472618964,4658341.0,9850714660.0,0.00047289370982551635
2014-02-11,3.8837339472618964,3.89440354601811,3.8410555522370404,3.8837339472618964,5445408.0,9850714660.0,0.0005527931919611607
2014-02-12,3.89440354601811,3.9050731447743243,3.8623947497494684,3.8837339472618964,4336637.0,9850714660.0,0.0004402357747310894
2014-02-13,3.8837339472618964,3.9264123422867523,3.8623947497494684,3.89440354601811,5934105.0,9850714660.0,0.0006024035011486161
2014-02-14,3.89440354601811,3.9477515397991803,3.873064348505682,3.9370819410429663,5773150.0,9850714660.0,0.0005860640775072456
2014-02-17,3.9370819410429663,4.0971259223861765,3.9264123422867523,4.05444752736132,11254309.0,9850714660.0,0.0011424865492957036
2014-02-18,4.065117126117534,4.139804317411032,4.033108329848892,4.05444752736132,12444112.0,9850714660.0,0.0012632699686785974
2014-02-19,4.05444752736132,4.075786724873748,3.979760336067822,4.033108329848892,9515528.0,9850714660.0,0.0009659733662410236
2014-02-20,4.043777928605106,4.0971259223861765,3.990429934824036,4.00109953358025,7835973.0,9850714660.0,0.0007954725388421717
2014-02-21,3.990429934824036,4.033108329848892,3.89440354601811,3.9157427435305383,6498708.0,9850714660.0,0.0006597194441524916
2014-02-24,3.8837339472618964,3.89440354601811,3.819716354724612,3.8623947497494684,4798388.0,9850714660.0,0.0004871106478684664
2014-02-25,3.8623947497494684,3.9157427435305383,3.755698762187328,3.809046755968398,6710514.0,9850714660.0,0.0006812210313276905
2014-02-26,3.78770755845597,3.8837339472618964,3.78770755845597,3.8410555522370404,4289760.0,9850714660.0,0.0004354770337038673
2014-02-27,3.8410555522370404,4.00109953358025,3.8410555522370404,3.9477515397991803,9417038.0,9850714660.0,0.0009559751068863059
2014-02-28,3.969090737311608,4.00109953358025,3.9050731447743243,3.990429934824036,8912777.0,9850714660.0,0.0009047848108108737
2014-03-03,3.990429934824036,4.10779552114239,3.9477515397991803,4.065117126117534,11207221.0,9850714660.0,0.001137706388502781
2014-03-04,4.065117126117534,4.065117126117534,3.9477515397991803,4.00109953358025,6646864.0,9850714660.0,0.000674759571200492
2014-03-05,4.033108329848892,4.033108329848892,3.9584211385553942,3.969090737311608,5078784.0,9850714660.0,0.0005155751816284972
2014-03-06,3.979760336067822,3.979760336067822,3.89440354601811,3.9370819410429663,5596243.0,9850714660.0,0.0005681052789727238
2014-03-07,3.969090737311608,4.214491508704531,3.969090737311608,4.086456323629962,22081212.0,9850714660.0,0.0022415847745203086
2014-03-10,4.033108329848892,4.246500304973172,3.990429934824036,4.150473916167246,26278440.0,9850714660.0,0.002667668378082936
2014-03-11,4.16114351492346,4.235830706216959,4.086456323629962,4.214491508704531,20367338.0,9850714660.0,0.0020676000374575867
2014-03-12,4.214491508704531,4.214491508704531,4.043777928605106,4.139804317411032,13095637.0,9850714660.0,0.0013294098399963196
2014-03-13,4.139804317411032,4.203821909948316,4.086456323629962,4.16114351492346,13722001.0,9850714660.0,0.0013929954803908614
2014-03-14,4.139804317411032,4.16114351492346,3.990429934824036,4.065117126117534,14553617.0,9850714660.0,0.001477417375522681
2014-03-17,4.043777928605106,4.075786724873748,3.969090737311608,4.065117126117534,7223521.0,9850714660.0,0.0007332991817671835
2014-03-18,4.043777928605106,4.182482712435888,4.011769132336464,4.0971259223861765,12209017.0,9850714660.0,0.0012394041875536368
2014-03-19,4.065117126117534,4.086456323629962,3.990429934824036,4.065117126117534,8557874.0,9850714660.0,0.0008687566633871009
2014-03-20,4.05444752736132,4.0971259223861765,3.9584211385553942,3.969090737311608,7197642.0,9850714660.0,0.0007306720627313349
2014-03-21,3.969090737311608,4.118465119898604,3.9264123422867523,4.086456323629962,12836356.0,9850714660.0,0.001303088805538501
2014-03-24,4.118465119898604,4.182482712435888,4.10779552114239,4.16114351492346,14202853.0,9850714660.0,0.0014418094006592615
2014-03-25,4.193152311192103,4.470561878853666,4.139804317411032,4.353196292535312,40870656.0,9850714660.0,0.004149004149512133
2014-03-26,4.246500304973172,4.310517897510456,4.193152311192103,4.214491508704531,20444576.0,9850714660.0,0.002075440889889709
2014-03-27,4.182482712435888,4.2678395024856,4.139804317411032,4.150473916167246,12458819.0,9850714660.0,0.0012647629568025677
2014-03-28,4.16114351492346,4.32118749626667,4.16114351492346,4.246500304973172,23695520.0,9850714660.0,0.002405462021574788
2014-03-31,4.246500304973172,4.257169903729387,4.150473916167246,4.171813113679674,9248841.0,9850714660.0,0.0009389005081586639
2014-04-01,4.139804317411032,4.203821909948316,4.10779552114239,4.193152311192103,7123743.0,9850714660.0,0.0007231701704777631
2014-04-02,4.203821909948316,4.214491508704531,4.139804317411032,4.16114351492346,5794772.0,9850714660.0,0.0005882590451564252
2014-04-03,4.16114351492346,4.193152311192103,4.075786724873748,4.10779552114239,8158083.0,9850714660.0,0.0008281716892203637
2014-04-04,4.075786724873748,4.150473916167246,4.075786724873748,4.129134718654818,4021036.0,9850714660.0,0.0004081973885943418
2014-04-08,4.129134718654818,4.257169903729387,4.129134718654818,4.235830706216959,12278809.0,9850714660.0,0.0012464891557421277
2014-04-09,4.246500304973172,4.257169903729387,4.193152311192103,4.225161107460744,9004931.0,9850714660.0,0.0009141398681017119
2014-04-10,4.225161107460744,4.2678395024856,4.193152311192103,4.2678395024856,12743362.0,9850714660.0,0.0012936484752467696
2014-04-11,4.246500304973172,4.246500304973172,4.182482712435888,4.203821909948316,9138030.0,9850714660.0,0.0009276514766087033
2014-04-14,4.193152311192103,4.203821909948316,4.171813113679674,4.203821909948316,6022137.0,9850714660.0,0.0006113401116422146
2014-04-15,4.203821909948316,4.203821909948316,4.10779552114239,4.129134718654818,7843077.0,9850714660.0,0.000796193704792582
2014-04-16,4.118465119898604,4.16114351492346,4.0971259223861765,4.139804317411032,4472475.0,9850714660.0,0.00045402543413027865
2014-04-17,4.150473916167246,4.16114351492346,4.0971259223861765,4.0971259223861765,3924635.0,9850714660.0,0.00039841119507160713
2014-04-18,4.0971259223861765,4.118465119898604,4.065117126117534,4.10779552114239,4337006.0,9850714660.0,0.00044027323394219605
2014-04-21,4.150473916167246,4.310517897510456,4.150473916167246,4.182482712435888,18831846.0,9850714660.0,0.001911723834258336
2014-04-22,4.16114351492346,4.257169903729387,4.139804317411032,4.193152311192103,11213373.0,9850714660.0,0.0011383309117188457
2014-04-23,4.193152311192103,4.214491508704531,4.139804317411032,4.16114351492346,5497526.0,9850714660.0,0.0005580839756046694
2014-04-24,4.139804317411032,4.16114351492346,4.05444752736132,4.065117126117534,7939777.0,9850714660.0,0.0008060102514430156
2014-04-25,4.05444752736132,4.0971259223861765,4.011769132336464,4.022438731092678,5483156.0,9850714660.0,0.0005566251981965337
2014-04-28,4.00109953358025,4.043777928605106,3.851725150993254,3.8623947497494684,6936440.0,9850714660.0,0.0007041560170417117
2014-04-29,3.8837339472618964,3.9264123422867523,3.873064348505682,3.9157427435305383,3813185.0,9850714660.0,0.00038709729513168134
2014-04-30,3.9157427435305383,3.969090737311608,3.89440354601811,3.9477515397991803,3607247.0,9850714660.0,0.00036619140077700715
2014-05-05,3.9477515397991803,3.969090737311608,3.9050731447743243,3.9584211385553942,2438265.0,9850714660.0,0.00024752163514601283
2014-05-06,3.9584211385553942,3.990429934824036,3.9477515397991803,3.969090737311608,2984360.0,9850714660.0,0.00030295872969687663
2014-05-07,3.9477515397991803,4.00109953358025,3.9050731447743243,3.9370819410429663,3703708.0,9850714660.0,0.0003759836852283771
2014-05-08,3.9157427435305383,4.011769132336464,3.9050731447743243,3.990429934824036,4902838.0,9850714660.0,0.0004977139394676162
